Country,Corruption Index Points,Month/Year,Frequency
Afghanistan,15.00,Dec/17,Yearly
Albania,38.00,Dec/17,Yearly
Algeria,33.00,Dec/17,Yearly
Angola,19.00,Dec/17,Yearly
Argentina,39.00,Dec/17,Yearly
Armenia,35.00,Dec/17,Yearly
Australia,77.00,Dec/17,Yearly
Austria,75.00,Dec/17,Yearly
Azerbaijan,31.00,Dec/17,Yearly
Bahamas,65.00,Dec/17,Yearly
Bahrain,36.00,Dec/17,Yearly
Bangladesh,28.00,Dec/17,Yearly
Barbados,68.00,Dec/17,Yearly
Belarus,44.00,Dec/17,Yearly
Belgium,75.00,Dec/17,Yearly
Benin,39.00,Dec/17,Yearly
Bhutan,67.00,Dec/17,Yearly
Bolivia,33.00,Dec/17,Yearly
Bosnia and Herzegovina,38.00,Dec/17,Yearly
Botswana,61.00,Dec/17,Yearly
Brazil,37.00,Dec/17,Yearly
Brunei,62.00,Dec/17,Yearly
Bulgaria,43.00,Dec/17,Yearly
Burkina Faso,42.00,Dec/17,Yearly
Burundi,22.00,Dec/17,Yearly
Cambodia,21.00,Dec/17,Yearly
Cameroon,25.00,Dec/17,Yearly
Canada,82.00,Dec/17,Yearly
Cape Verde,55.00,Dec/17,Yearly
Central African Republic,23.00,Dec/17,Yearly
Chad,20.00,Dec/17,Yearly
Chile,67.00,Dec/17,Yearly
China,41.00,Dec/17,Yearly
Colombia,37.00,Dec/17,Yearly
Comoros,27.00,Dec/17,Yearly
Congo,21.00,Dec/17,Yearly
Costa Rica,59.00,Dec/17,Yearly
Croatia,49.00,Dec/17,Yearly
Cuba,47.00,Dec/17,Yearly
Cyprus,57.00,Dec/17,Yearly
Czech Republic,57.00,Dec/17,Yearly
Denmark,88.00,Dec/17,Yearly
Djibouti,31.00,Dec/17,Yearly
Dominica,57.00,Dec/17,Yearly
Dominican Republic,29.00,Dec/17,Yearly
East Timor,38.00,Dec/17,Yearly
Ecuador,32.00,Dec/17,Yearly
Egypt,32.00,Dec/17,Yearly
El Salvador,33.00,Dec/17,Yearly
Equatorial Guinea,17.00,Dec/17,Yearly
Eritrea,20.00,Dec/17,Yearly
Estonia,71.00,Dec/17,Yearly
Ethiopia,35.00,Dec/17,Yearly
Finland,85.00,Dec/17,Yearly
France,70.00,Dec/17,Yearly
Gabon,32.00,Dec/17,Yearly
Gambia,30.00,Dec/17,Yearly
Georgia,56.00,Dec/17,Yearly
Germany,81.00,Dec/17,Yearly
Ghana,40.00,Dec/17,Yearly
Greece,48.00,Dec/17,Yearly
Grenada,52.00,Dec/17,Yearly
Guatemala,28.00,Dec/17,Yearly
Guinea,27.00,Dec/17,Yearly
Guinea Bissau,17.00,Dec/17,Yearly
Guyana,38.00,Dec/17,Yearly
Haiti,22.00,Dec/17,Yearly
Honduras,29.00,Dec/17,Yearly
Hong Kong,77.00,Dec/17,Yearly
Hungary,45.00,Dec/17,Yearly
Iceland,77.00,Dec/17,Yearly
India,40.00,Dec/17,Yearly
Indonesia,37.00,Dec/17,Yearly
Iran,30.00,Dec/17,Yearly
Iraq,18.00,Dec/17,Yearly
Ireland,74.00,Dec/17,Yearly
Israel,62.00,Dec/17,Yearly
Italy,50.00,Dec/17,Yearly
Ivory Coast,36.00,Dec/17,Yearly
Jamaica,44.00,Dec/17,Yearly
Japan,73.00,Dec/17,Yearly
Jordan,48.00,Dec/17,Yearly
Kazakhstan,31.00,Dec/17,Yearly
Kenya,28.00,Dec/17,Yearly
Kiribati,31.00,Dec/11,Yearly
Kosovo,39.00,Dec/17,Yearly
Kuwait,39.00,Dec/17,Yearly
Kyrgyzstan,29.00,Dec/17,Yearly
Laos,29.00,Dec/17,Yearly
Latvia,58.00,Dec/17,Yearly
Lebanon,28.00,Dec/17,Yearly
Lesotho,42.00,Dec/17,Yearly
Liberia,31.00,Dec/17,Yearly
Libya,17.00,Dec/17,Yearly
Lithuania,59.00,Dec/17,Yearly
Luxembourg,82.00,Dec/17,Yearly
Macau,51.00,Dec/11,Yearly
Macedonia,35.00,Dec/17,Yearly
Madagascar,24.00,Dec/17,Yearly
Malawi,31.00,Dec/17,Yearly
Malaysia,47.00,Dec/17,Yearly
Maldives,33.00,Dec/17,Yearly
Mali,31.00,Dec/17,Yearly
Malta,56.00,Dec/17,Yearly
Mauritania,28.00,Dec/17,Yearly
Mauritius,50.00,Dec/17,Yearly
Mexico,29.00,Dec/17,Yearly
Moldova,31.00,Dec/17,Yearly
Mongolia,36.00,Dec/17,Yearly
Montenegro,46.00,Dec/17,Yearly
Morocco,40.00,Dec/17,Yearly
Mozambique,25.00,Dec/17,Yearly
Myanmar,30.00,Dec/17,Yearly
Namibia,51.00,Dec/17,Yearly
Nepal,31.00,Dec/17,Yearly
Netherlands,82.00,Dec/17,Yearly
New Zealand,89.00,Dec/17,Yearly
Nicaragua,26.00,Dec/17,Yearly
Niger,33.00,Dec/17,Yearly
Nigeria,27.00,Dec/17,Yearly
North Korea,17.00,Dec/17,Yearly
Norway,85.00,Dec/17,Yearly
Oman,44.00,Dec/17,Yearly
Pakistan,32.00,Dec/17,Yearly
Panama,37.00,Dec/17,Yearly
Papua New Guinea,29.00,Dec/17,Yearly
Paraguay,29.00,Dec/17,Yearly
Peru,37.00,Dec/17,Yearly
Philippines,34.00,Dec/17,Yearly
Poland,60.00,Dec/17,Yearly
Portugal,63.00,Dec/17,Yearly
Puerto Rico,63.00,Dec/14,Yearly
Qatar,63.00,Dec/17,Yearly
Republic of the Congo,21.00,Dec/17,Yearly
Romania,48.00,Dec/17,Yearly
Russia,29.00,Dec/17,Yearly
Rwanda,55.00,Dec/17,Yearly
Saint Lucia,60.00,Dec/16,
Saint Vincent and The Grenadines,60.00,Dec/16,
Samoa,52.00,Dec/14,Yearly
Sao Tome and Principe,46.00,Dec/17,Yearly
Saudi Arabia,49.00,Dec/17,Yearly
Senegal,45.00,Dec/17,Yearly
Serbia,41.00,Dec/17,Yearly
Seychelles,60.00,Dec/17,Yearly
Sierra Leone,30.00,Dec/17,Yearly
Singapore,84.00,Dec/17,Yearly
Slovakia,50.00,Dec/17,Yearly
Slovenia,61.00,Dec/17,Yearly
Solomon Islands,39.00,Dec/17,Yearly
Somalia,9.00,Dec/17,Yearly
South Africa,43.00,Dec/17,Yearly
South Korea,54.00,Dec/17,Yearly
South Sudan,12.00,Dec/17,Yearly
Spain,57.00,Dec/17,Yearly
Sri Lanka,38.00,Dec/17,Yearly
St Lucia,55.00,Dec/17,Yearly
St Vicent and the Grenadines,58.00,Dec/17,
St Vincent and the Grenadines,58.00,Dec/17,Yearly
Sudan,16.00,Dec/17,Yearly
Suriname,41.00,Dec/17,Yearly
Swaziland,39.00,Dec/17,Yearly
Sweden,84.00,Dec/17,Yearly
Switzerland,85.00,Dec/17,Yearly
Syria,14.00,Dec/17,Yearly
Taiwan,63.00,Dec/17,Yearly
Tajikistan,21.00,Dec/17,Yearly
Tanzania,36.00,Dec/17,Yearly
Thailand,37.00,Dec/17,Yearly
Togo,32.00,Dec/17,Yearly
Tonga,31.00,Dec/11,Yearly
Trinidad and Tobago,41.00,Dec/17,Yearly
Tunisia,42.00,Dec/17,Yearly
Turkey,40.00,Dec/17,Yearly
Turkmenistan,19.00,Dec/17,Yearly
Uganda,26.00,Dec/17,Yearly
Ukraine,30.00,Dec/17,Yearly
United Arab Emirates,71.00,Dec/17,Yearly
United Kingdom,82.00,Dec/17,Yearly
United States,75.00,Dec/17,Yearly
Uruguay,70.00,Dec/17,Yearly
Uzbekistan,22.00,Dec/17,Yearly
Vanuatu,43.00,Dec/17,Yearly
Venezuela,18.00,Dec/17,Yearly
Vietnam,35.00,Dec/17,Yearly
Yemen,16.00,Dec/17,Yearly
Zambia,37.00,Dec/17,Yearly
Zimbabwe,22.00,Dec/17,Yearly
Solomon Islands,1.20,Dec/16,
Guinea Bissau,1.13,Dec/16,
Grenada,1.02,Dec/16,
Gambia,0.96,Dec/16,
St Kitts and Nevis,0.92,Dec/16,
Samoa,0.79,Dec/16,
St Vincent And The Grenadines,0.77,Dec/16,
Vanuatu,0.77,Dec/16,
Comoros,0.62,Dec/16,
Dominica,0.53,Dec/16,
Tonga,0.40,Dec/16,
Sao Tome and Principe,0.35,Dec/16,
Micronesia,0.32,Dec/16,
Palau,0.29,Dec/16,
Kiribati,0.17,Dec/16,
