Import Country,Transaction Count
US,2601
JP,1320
HK,1047
CN,815
FR,744
CH,716
IT,628
KR,593
SG,509
DE,488
RU,401
AE,388
CA,367
MY,327
TR,326
GB,292
TW,281
TH,279
QA,242
MX,231
AU,220
ES,202
MO,197
SA,192
PH,187
ID,185
UA,172
KW,155
NL,144
VN,142
ZA,139
NO,136
MC,117
IN,113
LB,110
CZ,107
AZ,106
BR,103
IL,99
KZ,98
NZ,91
AT,86
IR,71
BH,70
CL,64
MA,63
DK,61
AR,60
AM,60
UZ,59
EG,59
BL,53
PA,50
OM,48
BE,43
RS,42
PT,40
MG,39
TM,37
JO,36
NG,36
IQ,36
CO,35
PK,34
PL,33
KH,33
KP,31
PE,30
TN,29
BY,29
GT,28
BG,26
DO,26
SK,25
HU,24
AL,23
MU,23
VE,23
MD,22
SE,21
GU,20
KG,20
SN,20
GR,19
AD,17
AO,17
GE,16
UY,16
CI,15
CG,14
PY,13
BN,13
BS,13
CR,11
FI,11
NI,11
RO,11
MK,11
BB,11
LK,10
MN,10
LY,10
UG,10
EC,10
GH,10
PR,9
BA,9
DZ,9
AW,9
LT,9
MM,9
BD,9
LU,8
ME,8
JE,8
ZW,8
CM,7
SV,7
LA,7
ET,7
MP,7
KE,7
LI,7
GG,6
HN,6
HR,6
GI,6
SI,6
SZ,6
IE,6
KY,5
BM,5
AN,5
NC,5
TT,5
GP,5
SM,4
GA,4
KN,4
LV,4
IS,4
ZM,4
CY,4
NE,4
IM,4
TG,4
CC,4
BO,3
RE,3
HT,3
CU,3
LC,3
CD,3
MT,3
VG,3
TF,2
ML,2
MR,2
GN,2
TL,2
TK,2
VI,2
PG,2
JM,2
MW,2
BJ,2
MV,2
AG,2
FO,2
MZ,2
SR,2
GL,2
ER,2
LR,2
PF,1
TD,1
BZ,1
CF,1
BW,1
NP,1
EE,1
GD,1
TC,1
GQ,1
MQ,1
TZ,1
SD,1
FJ,1
GY,1
DM,1
SY,1
DJ,1
MF,1
