Country,USD Billion,Month/Year,Frecuency
United States,18624.48,Dec/16,Yearly
European Union,16397.98,Dec/16,Yearly
Euro Area,11885.66,Dec/16,Yearly
China,11199.15,Dec/16,Yearly
Japan,4940.16,Dec/16,Yearly
Germany,3466.76,Dec/16,Yearly
United Kingdom,2647.90,Dec/16,Yearly
France,2465.45,Dec/16,Yearly
India,2263.79,Dec/16,Yearly
Italy,1849.97,Dec/16,Yearly
Brazil,1796.19,Dec/16,Yearly
Canada,1529.76,Dec/16,Yearly
South Korea,1411.25,Dec/16,Yearly
Russia,1283.20,Dec/16,Yearly
Spain,1232.09,Dec/16,Yearly
Australia,1204.62,Dec/16,Yearly
Mexico,1046.92,Dec/16,Yearly
Indonesia,932.26,Dec/16,Yearly
Turkey,857.75,Dec/16,Yearly
Netherlands,770.85,Dec/16,Yearly
Switzerland,659.83,Dec/16,Yearly
Saudi Arabia,646.44,Dec/16,Yearly
Argentina,545.90,Dec/16,Yearly
Taiwan,525.24,Dec/15,Yearly
Sweden,511.00,Dec/16,Yearly
Poland,469.51,Dec/16,Yearly
Belgium,466.37,Dec/16,Yearly
Thailand,406.84,Dec/16,Yearly
Nigeria,405.10,Dec/16,Yearly
Iran,393.44,Dec/15,Yearly
Austria,386.43,Dec/16,Yearly
Norway,370.56,Dec/16,Yearly
United Arab Emirates,348.74,Dec/16,Yearly
Venezuela,344.33,Dec/15,Yearly
Egypt,336.30,Dec/16,Yearly
Hong Kong,320.91,Dec/16,Yearly
Israel,318.74,Dec/16,Yearly
Denmark,306.90,Dec/16,Yearly
Philippines,304.90,Dec/16,Yearly
Ireland,304.82,Dec/16,Yearly
Singapore,296.98,Dec/16,Yearly
Malaysia,296.54,Dec/16,Yearly
South Africa,294.84,Dec/16,Yearly
Pakistan,283.66,Dec/16,Yearly
Colombia,282.46,Dec/16,Yearly
Chile,247.00,Dec/16,Yearly
Finland,236.79,Dec/16,Yearly
Bangladesh,221.42,Dec/16,Yearly
Vietnam,205.28,Dec/16,Yearly
Portugal,204.84,Dec/16,Yearly
Greece,194.56,Dec/16,Yearly
Czech Republic,192.92,Dec/16,Yearly
Peru,192.09,Dec/16,Yearly
Romania,186.69,Dec/16,Yearly
New Zealand,185.02,Dec/16,Yearly
Iraq,171.49,Dec/16,Yearly
Algeria,156.08,Dec/16,Yearly
Qatar,152.50,Dec/16,Yearly
Kazakhstan,133.66,Dec/16,Yearly
Hungary,124.34,Dec/16,Yearly
Kuwait,114.04,Dec/15,Yearly
Puerto Rico,103.10,Dec/15,Yearly
Morocco,101.45,Dec/16,Yearly
Ecuador,97.80,Dec/16,Yearly
Sudan,95.58,Dec/16,Yearly
Ukraine,93.27,Dec/16,Yearly
Angola,89.63,Dec/16,Yearly
Slovakia,89.55,Dec/16,Yearly
Cuba,87.13,Dec/15,Yearly
Sri Lanka,81.32,Dec/16,Yearly
Syria,73.67,Dec/12,Yearly
Ethiopia,72.37,Dec/16,Yearly
Dominican Republic,71.58,Dec/16,Yearly
Kenya,70.53,Dec/16,Yearly
Guatemala,68.76,Dec/16,Yearly
Myanmar,67.40,Dec/16,Yearly
Uzbekistan,67.22,Dec/16,Yearly
Oman,66.29,Dec/16,Yearly
Luxembourg,59.95,Dec/16,Yearly
Costa Rica,57.44,Dec/16,Yearly
Panama,55.19,Dec/16,Yearly
Uruguay,52.42,Dec/16,Yearly
Bulgaria,52.40,Dec/16,Yearly
Croatia,50.43,Dec/16,Yearly
Lebanon,47.54,Dec/16,Yearly
Belarus,47.43,Dec/16,Yearly
Tanzania,47.43,Dec/16,Yearly
Macau,44.80,Dec/16,Yearly
Slovenia,43.99,Dec/16,Yearly
Lithuania,42.74,Dec/16,Yearly
Ghana,42.69,Dec/16,Yearly
Tunisia,42.10,Dec/16,Yearly
Jordan,38.65,Dec/16,Yearly
Azerbaijan,37.85,Dec/16,Yearly
Serbia,37.16,Dec/15,Yearly
Turkmenistan,36.18,Dec/16,Yearly
Ivory Coast,36.16,Dec/16,Yearly
Congo,35.00,Dec/16,Yearly
Bolivia,33.81,Dec/16,Yearly
Bahrain,31.86,Dec/16,Yearly
Libya,29.15,Dec/15,Yearly
Latvia,27.68,Dec/16,Yearly
Paraguay,27.44,Dec/16,Yearly
Yemen,27.30,Dec/16,Yearly
El Salvador,26.80,Dec/16,Yearly
Uganda,25.53,Dec/16,Yearly
Cameroon,24.20,Dec/16,Yearly
Estonia,23.14,Dec/16,Yearly
Honduras,21.52,Dec/16,Yearly
Nepal,21.14,Dec/16,Yearly
Trinidad and Tobago,20.99,Dec/16,Yearly
Cyprus,20.05,Dec/16,Yearly
Iceland,20.05,Dec/16,Yearly
Zambia,19.55,Dec/16,Yearly
Afghanistan,19.47,Dec/16,Yearly
Cambodia,18.05,Dec/15,Yearly
Papua New Guinea,16.93,Dec/14,Yearly
Bosnia and Herzegovina,16.56,Dec/16,Yearly
Zimbabwe,16.29,Dec/16,Yearly
North Korea,16.12,Dec/15,Yearly
Laos,15.90,Dec/16,Yearly
Botswana,15.27,Dec/16,Yearly
Senegal,14.77,Dec/16,Yearly
Georgia,14.32,Dec/16,Yearly
Gabon,14.21,Dec/16,Yearly
Mali,14.05,Dec/16,Yearly
Jamaica,14.03,Dec/16,Yearly
Nicaragua,13.23,Dec/16,Yearly
Mauritius,12.16,Dec/16,Yearly
Burkina Faso,12.12,Dec/16,Yearly
Albania,11.93,Dec/16,Yearly
Brunei,11.40,Dec/16,Yearly
Mongolia,11.16,Dec/16,Yearly
Mozambique,11.01,Dec/16,Yearly
Malta,10.95,Dec/16,Yearly
Macedonia,10.90,Dec/16,Yearly
Armenia,10.55,Dec/16,Yearly
Namibia,10.27,Dec/16,Yearly
Equatorial Guinea,10.18,Dec/16,Yearly
Madagascar,9.99,Dec/16,Yearly
New Caledonia,9.90,Dec/11,Yearly
Chad,9.60,Dec/16,Yearly
Bahamas,9.05,Dec/16,Yearly
South Sudan,9.02,Dec/15,Yearly
Benin,8.58,Dec/16,Yearly
Rwanda,8.38,Dec/16,Yearly
Haiti,8.02,Dec/16,Yearly
Palestine,8.00,Dec/16,Yearly
Republic of the Congo,7.83,Dec/16,Yearly
Niger,7.51,Dec/16,Yearly
Isle Of Man,7.43,Dec/14,Yearly
Tajikistan,6.95,Dec/16,Yearly
Moldova,6.75,Dec/16,Yearly
Liechtenstein,6.66,Dec/14,Yearly
Kosovo,6.65,Dec/16,Yearly
Kyrgyzstan,6.55,Dec/16,Yearly
Guinea,6.30,Dec/16,Yearly
Somalia,6.22,Dec/16,Yearly
Monaco,6.07,Dec/11,Yearly
Malawi,5.44,Dec/16,Yearly
Fiji,4.63,Dec/16,Yearly
Mauritania,4.63,Dec/16,Yearly
Barbados,4.59,Dec/16,Yearly
Togo,4.40,Dec/16,Yearly
Montenegro,4.17,Dec/16,Yearly
Eritrea,3.86,Dec/14,Yearly
Swaziland,3.73,Dec/16,Yearly
Sierra Leone,3.67,Dec/16,Yearly
Suriname,3.62,Dec/16,Yearly
Maldives,3.59,Dec/16,Yearly
Cayman Islands,3.48,Dec/14,Yearly
Guyana,3.45,Dec/16,Yearly
Andorra,3.28,Dec/14,Yearly
Burundi,3.01,Dec/16,Yearly
Aruba,2.58,Dec/11,Yearly
Bhutan,2.24,Dec/16,Yearly
Greenland,2.22,Dec/15,Yearly
Lesotho,2.20,Dec/16,Yearly
Liberia,2.10,Dec/16,Yearly
Belize,1.77,Dec/16,Yearly
Central African Republic,1.76,Dec/16,Yearly
Djibouti,1.73,Dec/15,Yearly
Cape Verde,1.62,Dec/16,Yearly
Antigua And Barbuda,1.45,Dec/16,Yearly
East Timor,1.44,Dec/15,Yearly
Seychelles,1.43,Dec/16,Yearly
St Lucia,1.38,Dec/16,Yearly
Solomon Islands,1.20,Dec/16,Yearly
Guinea Bissau,1.13,Dec/16,Yearly
Grenada,1.02,Dec/16,Yearly
Gambia,0.96,Dec/16,Yearly
St Kitts and Nevis,0.92,Dec/16,Yearly
Samoa,0.79,Dec/16,Yearly
St Vincent And The Grenadines,0.77,Dec/16,Yearly
Vanuatu,0.77,Dec/16,Yearly
Comoros,0.62,Dec/16,Yearly
Dominica,0.53,Dec/16,Yearly
Tonga,0.40,Dec/16,Yearly
Sao Tome and Principe,0.35,Dec/16,Yearly
Micronesia,0.32,Dec/16,Yearly
Palau,0.29,Dec/16,Yearly
Kiribati,0.17,Dec/16,Yearly
