Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2007,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,CH,DE,CN,1,,live,,Q,C
2007,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,DE,CH,CN,,1,live,,Q,C
2007,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,ES,CN,,25,,live,,T,D
2007,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,ES,CN,,,25,live,,Z,D
2007,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,NO,DK,CN,1,1,live,,Z,D
2007,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,US,NG,XX,1,,leather products (small),,P,I
2007,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,NO,DK,,10,12,live,,Z,F
2007,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,DK,EC,,26,,live,,T,C
2007,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,DK,EC,,11,,skulls,,T,C
2007,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,NO,DK,EC,,5,live,,Z,C
2007,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,NO,DK,EC,1,1,live,,Z,D
2007,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,TR,IT,US,1,1,live,,Q,C
2007,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,US,MG,,,0.2,specimens,mg,S,W
2007,I,Acrantophis madagascariensis,Reptilia,Serpentes,Boidae,Acrantophis,CH,DE,,1,,live,,Q,C
2007,I,Acrantophis madagascariensis,Reptilia,Serpentes,Boidae,Acrantophis,DE,CH,DE,,1,live,,Q,C
2007,I,Acrantophis madagascariensis,Reptilia,Serpentes,Boidae,Acrantophis,FR,YT,MG,,1,live,,Z,U
2007,I,Acrantophis madagascariensis,Reptilia,Serpentes,Boidae,Acrantophis,FR,YT,,1,,live,,Z,I
2007,I,Boa constrictor occidentalis,Reptilia,Serpentes,Boidae,Boa,CH,DE,,2,2,live,,T,C
2007,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,CA,US,XX,,2,live,,Z,W
2007,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,DE,CH,,,4,live,,T,C
2007,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,MG,TH,MG,1,1,live,,N,I
2007,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,US,MG,,,0.2,specimens,mg,S,W
2007,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,AT,EG,,4,,carapaces,,,I
2007,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,AU,NC,,,4,specimens,,S,W
2007,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,AU,XX,NC,4,,specimens,flasks,S,
2007,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,ES,CV,,1000,,eggs (live),,N,W
2007,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,JP,FR,XX,,8,carvings,,Q,O
2007,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,PT,US,XX,,2,carvings,,E,U
2007,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,BM,,3,3,specimens,,S,W
2007,I,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,US,BS,,100,100,specimens,,S,W
