Export Country,Quantity Exported,Transaction Count
China,66673703.23459996,1491
Turkey,27557839.92,229
Georgia,18074798.0,25
United States of America,10472071.859999994,4463
Côte d'Ivoire,8039921.7,59
France,7337206.857926904,3679
Japan,6811511.327131065,1034
United Arab Emirates,6530513.424800002,972
Indonesia,5406535.700000002,6492
Costa Rica,5260583.141,183
Netherlands,2700657.9638831103,1618
Argentina,2549752.2929999996,322
Dominican Republic,2286713.0,108
Armenia,1508232.1369999999,50
Italy,1500085.417,5011
Malaysia,1080502.4825000002,1348
Singapore,1017781.3975999999,1480
"Hong Kong, SAR China",852526.2670999999,834
Germany,805619.8568400012,2602
Peru,804629.1850999999,1310
India,687060.6519999999,381
Nicaragua,672321.9600000003,83
Bahamas,532558.0907999999,57
Philippines,511502.6,1154
Kenya,405508.20999999996,149
Nepal,332885.2,19
El Salvador,319491.32999999996,67
Morocco,307227.08,43
Austria,295060.0040000001,333
Spain,264016.8340000002,1261
Uganda,258792.36,66
Nigeria,233744.0,19
Norway,202599.15,108
Portugal,165673.73,170
Zambia,144205.01,127
Uzbekistan,135885.0,109
Madagascar,124038.586,925
Zimbabwe,111002.28,554
Serbia,79737.0,42
United Kingdom,75118.98382,1136
Namibia,74802.06,569
Cuba,72275.345,91
Poland,65237.232,64
Cambodia,58440.0,49
Chile,53328.5,48
Belgium,48626.437999999995,1106
Hungary,46742.3,52
Bulgaria,45563.4,31
Uruguay,45073.45300000001,86
Colombia,43560.0,534
Czech Republic,41644.02,752
"Congo, (Kinshasa)",40828.89499999999,110
Malta,36198.0,37
Venezuela (Bolivarian Republic),35636.0,74
Belarus,31233.614999999994,51
"Macedonia, Republic of",29764.0,29
Slovenia,26711.0,47
Antigua and Barbuda,25058.34,11
Romania,21495.0,34
Malawi,20041.8,18
Lithuania,19145.0,24
Guyana,16576.0,322
Estonia,16391.14,57
Chad,10219.0,3
Rwanda,9066.3,23
Kuwait,8463.0,282
Oman,8430.0,113
Seychelles,8175.34,37
Kazakhstan,6863.0,78
Finland,5582.179999999999,45
Greece,5120.3,92
Denmark,4360.04,302
Lao PDR,4196.25,162
Greenland,4121.5,122
Barbados,3953.0,47
Burundi,3400.0,4
Cayman Islands,3264.0,19
New Zealand,3245.1480000000006,107
Monaco,3100.0,347
Qatar,2957.0,172
Myanmar,2509.0,16
Ethiopia,2147.15,77
Sweden,1895.0,103
Bermuda,1436.0,35
Bahrain,1369.0,51
Jersey,921.0,79
Mongolia,774.0,50
Luxembourg,576.845,82
Ireland,542.0,32
Angola,395.0,11
Croatia,388.0,17
"Macao, SAR China",263.0,53
San Marino,131.37,22
Slovakia,128.0,35
Cape Verde,61.0,3
British Indian Ocean Territory,60.0,10
Pakistan,60.0,37
Guernsey,56.0,18
Saint Helena,56.0,4
Latvia,53.0,48
Trinidad and Tobago,47.0,15
British Virgin Islands,35.0,16
Liberia,31.0,11
Falkland Islands (Malvinas),25.0,9
Cyprus,2.1,2
Isle of Man,2.0,1
Iraq,2.0,3
Lesotho,1.0,1
Albania,,7
Andorra,,3
Antarctica,,8
Aruba,,3
Australia,,1417
Azerbaijan,,8
Bangladesh,,4
Belize,,25
Benin,,24
Bolivia,,34
Bosnia and Herzegovina,,1
Botswana,,3
Brazil,,488
Cameroon,,44
Canada,,1128
Central African Republic,,11
Comoros,,2
Congo (Brazzaville),,20
Cook Islands,,30
Dominica,,7
Ecuador,,1501
Egypt,,8
Equatorial Guinea,,11
Eritrea,,2
Faroe Islands,,1
Fiji,,510
French Polynesia,,8
Gabon,,11
Gambia,,7
Ghana,,65
Gibraltar,,2
Grenada,,6
Guadeloupe,,1
Guatemala,,37
Guinea,,4
Haiti,,23
Honduras,,20
Iceland,,18
"Iran, Islamic Republic of",,18
Israel,,43
Jamaica,,75
Jordan,,14
Kiribati,,3
Korea (North),,3
Korea (South),,305
Kyrgyzstan,,26
Lebanon,,40
Liechtenstein,,2
Maldives,,7
Mali,,60
Marshall Islands,,69
Mauritius,,46
Mexico,,414
"Micronesia, Federated States of",,61
Moldova,,10
Mozambique,,79
Netherlands Antilles,,1
New Caledonia,,16
Niger,,1
Palau,,65
Panama,,118
Papua New Guinea,,24
Paraguay,,20
Puerto Rico,,1
Russian Federation,,233
Saint Kitts and Nevis,,17
Saint Lucia,,6
Saint Vincent and Grenadines,,4
Saint-Barthélemy,,4
Samoa,,1
Sao Tome and Principe,,3
Saudi Arabia,,46
Senegal,,29
Sierra Leone,,3
Solomon Islands,,94
South Africa,,1408
South Georgia and the South Sandwich Islands,,4
Sri Lanka,,87
Sudan,,37
Suriname,,119
Swaziland,,1
Switzerland,,1435
Syrian Arab Republic (Syria),,10
"Taiwan, Republic of China",,658
Tajikistan,,15
"Tanzania, United Republic of",,164
Thailand,,1432
Timor-Leste,,1
Togo,,63
Tokelau,,1
Tonga,,279
Tunisia,,18
Turks and Caicos Islands,,13
Ukraine,,97
Vanuatu,,4
Viet Nam,,208
Yemen,,5
