Origin Country,Transaction Count
ID,2203
US,1875
VN,1511
ZW,1088
AU,610
CO,597
XX,563
LA,500
BO,495
ZA,487
MY,483
AR,456
PG,436
ML,300
TH,276
VE,267
ZM,245
TD,207
SD,122
PY,90
MZ,79
MW,60
TG,60
PH,60
MG,48
DE,48
CM,47
GY,46
KE,43
TZ,39
SG,31
BR,26
SV,26
SN,23
FR,21
PE,19
UZ,19
CN,19
CZ,19
IL,16
PA,14
MX,14
CH,13
AT,13
ES,13
NL,12
GB,12
SE,12
BJ,11
GH,11
SR,11
DK,11
SC,10
MK,10
JO,8
HK,8
KH,8
IT,7
SI,7
IN,7
UY,7
RU,7
SY,6
UA,5
SA,4
XV,4
BE,3
GT,3
GN,3
PF,3
NG,3
NZ,2
SK,2
NI,2
CD,2
HU,2
TR,2
CA,2
SB,2
PL,2
MU,2
JP,2
MA,1
KY,1
EG,1
AE,1
LC,1
BN,1
BB,1
HN,1
JM,1
BW,1
PK,1
MH,1
AL,1
TF,1
VU,1
UG,1
CW,1
JE,1
DM,1
BD,1
IS,1
CU,1
SU,1
NE,1
