Export Country,Quantity Exported,Transaction Count
Indonesia,5267146.700000002,6443
Italy,1470244.472,4996
United States of America,8928974.859999996,4015
France,6843768.510763902,3442
Germany,795451.986610001,2288
Singapore,983199.3725999999,1437
Australia,,1394
Netherlands,706854.9638831101,1305
Switzerland,,1289
South Africa,,1225
United Kingdom,73815.43792,1108
Canada,,1103
Spain,248760.83400000018,1073
Belgium,22718.23799999999,1008
United Arab Emirates,6494263.9778,947
China,8983318.942600006,906
"Hong Kong, SAR China",368210.93509999994,798
Japan,4913492.617850401,757
Madagascar,112646.586,694
Namibia,74781.0,567
Zimbabwe,84002.28,526
Fiji,,509
Malaysia,490646.60249999986,503
Czech Republic,38446.02,442
Mexico,,388
Thailand,,351
Monaco,3100.0,347
Austria,288376.0040000001,328
Peru,786636.1850999999,324
Guyana,16576.0,322
Kuwait,8463.0,282
Tonga,,279
Denmark,4360.04,276
Philippines,451704.6,257
Korea (South),,256
Argentina,2546943.2929999996,240
Russian Federation,,231
Turkey,18321035.92,222
"Taiwan, Republic of China",,194
Viet Nam,,186
Qatar,2957.0,172
Portugal,165673.73,170
"Tanzania, United Republic of",,146
Brazil,,140
Zambia,144205.01,127
Kenya,164508.21000000002,125
Greenland,4121.5,122
Suriname,,119
Oman,8430.0,113
"Congo, (Kinshasa)",40828.89499999998,110
Uzbekistan,135885.0,109
Norway,202599.15,108
Colombia,43034.0,105
Sweden,1895.0,103
New Zealand,2400.158,102
Ukraine,,97
Costa Rica,6500.17,97
Solomon Islands,,94
Greece,5120.3,92
Cuba,72275.345,91
Uruguay,45073.45300000001,86
Luxembourg,576.845,82
Nicaragua,672311.6300000004,82
Mozambique,,79
Kazakhstan,6863.0,78
Jersey,121.0,78
India,649955.83,72
Marshall Islands,,69
El Salvador,319491.32999999996,67
Uganda,258792.36,66
Dominican Republic,312.0,65
Palau,,65
Jamaica,,63
Togo,,63
Poland,63623.232,63
Ethiopia,2147.15,62
Ghana,,62
"Micronesia, Federated States of",,61
Mali,,60
Bahamas,532558.0907999999,57
"Macao, SAR China",263.0,53
Hungary,46742.3,52
Ecuador,,52
Panama,,52
Belarus,31233.614999999994,51
Bahrain,1369.0,51
Mongolia,774.0,50
Armenia,1508232.1369999999,50
Latvia,53.0,48
Barbados,3953.0,47
Chile,53261.0,46
Mauritius,,46
Cambodia,57856.0,45
Finland,5582.179999999999,45
Saudi Arabia,,45
Slovenia,21111.0,45
Cameroon,,44
Côte d'Ivoire,2601.0,44
Morocco,307207.08,42
Serbia,79737.0,42
Estonia,14103.775799999998,42
Lebanon,,40
Israel,,39
Sudan,,37
Seychelles,8175.34,37
Malta,36198.0,37
Pakistan,60.0,37
Slovakia,128.0,35
Bermuda,1436.0,35
Romania,21495.0,34
Bolivia,,34
Ireland,542.0,32
Bulgaria,45563.4,31
Cook Islands,,30
"Macedonia, Republic of",29764.0,29
Senegal,,29
Kyrgyzstan,,26
Belize,,25
Lithuania,19145.0,24
Benin,,24
Papua New Guinea,,24
Haiti,,23
Sri Lanka,,23
Rwanda,9066.3,23
Venezuela (Bolivarian Republic),33199.0,22
Georgia,15005718.0,22
San Marino,131.37,22
Congo (Brazzaville),,20
Paraguay,,20
Cayman Islands,3264.0,19
Nigeria,233744.0,19
Tunisia,,18
Lao PDR,,18
Guatemala,,18
Iceland,,18
Nepal,332185.2,18
"Iran, Islamic Republic of",,18
Malawi,20041.8,18
Guernsey,56.0,18
Saint Kitts and Nevis,,17
Croatia,388.0,17
New Caledonia,,16
British Virgin Islands,35.0,16
Myanmar,2133.0,15
Trinidad and Tobago,47.0,15
Tajikistan,,15
Jordan,,14
Turks and Caicos Islands,,13
Honduras,,12
Equatorial Guinea,,11
Antigua and Barbuda,25058.34,11
Angola,395.0,11
Central African Republic,,11
Gabon,,11
Liberia,31.0,11
Moldova,,10
British Indian Ocean Territory,60.0,10
Syrian Arab Republic (Syria),,10
Falkland Islands (Malvinas),25.0,9
Antarctica,,8
Azerbaijan,,8
French Polynesia,,8
Albania,,7
Gambia,,7
Dominica,,7
Egypt,,6
Saint Lucia,,6
Grenada,,6
Yemen,,5
Burundi,3400.0,4
South Georgia and the South Sandwich Islands,,4
Saint-Barthélemy,,4
Guinea,,4
Vanuatu,,4
Saint Helena,56.0,4
Saint Vincent and Grenadines,,4
Bangladesh,,3
Cape Verde,61.0,3
Sao Tome and Principe,,3
Chad,10219.0,3
Botswana,,3
Iraq,2.0,3
Andorra,,3
Korea (North),,3
Aruba,,3
Kiribati,,3
Sierra Leone,,3
Liechtenstein,,2
Maldives,,2
Gibraltar,,2
Cyprus,2.1,2
Comoros,,2
Eritrea,,2
Lesotho,1.0,1
Netherlands Antilles,,1
Timor-Leste,,1
Bosnia and Herzegovina,,1
Isle of Man,2.0,1
Guadeloupe,,1
Swaziland,,1
Samoa,,1
Faroe Islands,,1
Niger,,1
Tokelau,,1
