Import Country,Transaction Count
United States of America,102
"Macao, SAR China",28
Germany,21
Costa Rica,18
Netherlands,17
"Congo, (Kinshasa)",16
Italy,13
China,11
Mexico,10
Serbia,9
Japan,8
Belgium,7
Canada,5
Kenya,5
South Africa,5
Spain,5
Switzerland,5
Turkey,4
India,4
Bulgaria,4
Malawi,4
Czech Republic,4
Thailand,4
Slovenia,4
France,3
United Kingdom,3
El Salvador,3
Rwanda,3
Nicaragua,3
Madagascar,3
Saudi Arabia,3
United Arab Emirates,3
Jamaica,2
Korea (North),2
Panama,2
Malaysia,2
Viet Nam,2
"Hong Kong, SAR China",2
Kuwait,2
"Taiwan, Republic of China",2
Honduras,2
Portugal,2
Ukraine,2
Singapore,2
Lebanon,2
Korea (South),2
Peru,2
Barbados,1
Bosnia and Herzegovina,1
Colombia,1
Angola,1
Dominican Republic,1
Zimbabwe,1
Ecuador,1
Guatemala,1
Montenegro,1
Croatia,1
Qatar,1
Sierra Leone,1
Congo (Brazzaville),1
Egypt,1
Puerto Rico,1
Chile,1
Zambia,1
Australia,1
Pakistan,1
